3558 3558 3558 3558 3558 3558 4633 4631 2889 5191 5191 2250 5191 5191 5191 5191 5191 8217 8217 5199 2250 4631 4633 3558 3558 3558 3558 3558 3558 4631 3557 4631 4632 2250 5191 2250 5191 5191 2250 5191 5191 2250 5191 2250 2250 4631 4631 4633
874 874 874 874 874 874 874 874 874 864 874 864 520 923 519 519 874 3414 520 6381 874 3917 874 519 2594 874 874 874 874 874 519 874 874 874 874 874 519 243 1447 897 897 4539 3897 874 519 874 874 519
1643 1643 1643 1643 1643 1643 1643 1641 1224 2462 3344 3344 3344 3686 3344 2462 3344 3686 3344 1641 1643 1643 1641 1643 1641 1643 1643 1643 1643 1643 1643 1641 1641 3344 3344 4055 3344 3686 3686 3344 3344 3344 3344 1641 1641 1643 1643 1643
4335 4335 4335 4335 4335 4335 4335 4335 2311 4335 4335 4335 4335 4335 4335 2311 2622 4812 2335 2335 2345 4335 2335 2335 4335 2335 4812 4335 4335 4335 4335 2311 4335 2611 1334 1334 3204 3204 2611 2622 2311 2335 3204 1334 4335 4335 4335 4335
2195 2195 2195 1956 2195 2195 2195 1956 2195 2195 2195 4291 615 663 624 2445 2232 3472 247 285 295 2195 608 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 2195 1956 2195 1956 2195 2195 2195
2381 2381 2381 884 2381 2381 2381 884 2381 2381 884 7020 884 2474 2381 2474 2474 2474 2474 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 2381 884 346 301 3280 2517 1487 367 383 2381 2381 3476 2474 3215 2474 3215 2381 2381 884
384 2352 2352 384 384 384 2352 2352 2352 2352 2352 2352 1884 2352 2352 2352 2352 2352 2352 384 384 2352 2352 2352 2352 2352 2352 2352 2352 2352 2352 2352 2352 2352 2352 2352 1002 1611 2049 1882 2352 2352 2352 452 2352 2352 2352 384
1804 1833 1833 1833 1833 1946 1804 1833 177 2677 2677 3769 2280 2280 2280 2677 2677 1946 1804 1833 2676 2676 4439 2677 1833 1833 1833 1804 1804 1946 1804 1804 1946 6970 2677 2677 2280 2677 2280 2677 2677 3769 1833 2677 3769 1833 1804 1833
678 678 678 678 678 678 93 1373 1373 1373 1373 1373 1373 1373 1373 678 1373 835 1373 1373 1373 1373 1373 1373 1373 93 678 678 678 678 678 93 137 84 5977 1373 1373 835 678 679 132 679 1373 93 1373 1373 1373 1373
3631 3674 3674 3674 3674 3674 3674 3674 3672 3631 3631 884 3631 3631 2764 3631 3631 3631 3674 3631 3631 3631 3631 2764 3672 3631 3631 3631 3631 3631 3631 2764 2585 1652 3190 3190 3191 7326 1657 3631 3631 3631 3631 3674 3631 2764 3631 3631
896 896 896 896 896 896 896 896 892 892 892 4679 4687 896 896 896 896 896 896 894 4679 896 896 896 896 896 896 896 896 896 892 1087 283 283 285 285 285 285 283 285 283 283 896 896 896 896 896 896
2318 3181 3181 3181 3181 3181 5735 4372 2318 3194 3194 3194 3194 3194 3194 3194 3194 3194 1988 2318 2318 2318 3181 3181 3181 3181 387 2318 3181 1988 2319 3181 2347 3194 3194 3194 3194 3194 3194 3194 3194 3194 1331 2317 1988 3181 3181 3181
3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 1536 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 3357 705 649 6444 649 1840 198 3357 3357 3357 3357
2013 3407 2013 2013 2013 3407 3407 2013 3407 1398 6206 3407 5767 7990 2013 1361 7930 3407 3407 3407 3407 3407 3407 2013 3407 3407 3407 3407 2013 2013 2013 3407 3407 3407 3141 2013 3407 3407 6206 1399 3407 3407 3407 3407 525 3407 3407 3407
248 248 248 248 248 248 248 248 248 248 7060 1537 1537 200 4581 4581 1856 1705 1707 1707 89 248 248 248 248 248 248 248 248 248 248 248 248 248 248 248 592 1840 6444 649 649 649 6444 1744 248 248 248 248
2385 2385 2385 2385 2385 2385 2385 3665 3665 2385 2385 3665 3665 3665 2385 2385 2385 3665 866 2827 5883 868 1580 2385 2385 2385 2385 2385 2385 2385 2385 2385 2385 2385 2385 3665 3665 3665 2385 2385 3665 3665 3665 3665 625 1952 2385 2385
1620 1620 1620 1620 1620 1620 1620 1977 3407 3785 1977 1091 1977 771 1091 75 1977 1977 1977 1977 1977 1977 1977 1620 1620 1620 1620 1620 1620 1620 1620 1977 1977 1404 1562 1127 1977 817 546 1284 1977 1620 1977 1977 640 1977 8549 1620
2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 1089 1512 6729 1990 1974 1988 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2945 2322 1626 1626 4837 2322 1626 4927 4927 1626 2945 2945 2945 2945
321 321 321 321 4843 1121 321 321 4843 321 1121 321 321 321 321 1180 1180 5107 1128 1128 1183 721 321 324 321 321 321 321 321 321 1121 1121 881 4188 3645 4106 1121 1121 321 4843 1121 1121 321 321 321 321 321 321
402 372 954 954 372 402 954 954 954 954 397 902 902 839 902 902 902 902 902 1127 954 954 372 954 954 954 954 954 954 954 372 954 954 383 902 902 902 2378 902 902 902 2441 902 1282 372 402 954 2735
317 317 317 317 317 317 317 808 317 317 317 317 808 317 808 808 808 488 808 808 808 317 808 317 317 317 317 317 317 488 488 397 316 310 5206 309 380 808 317 808 808 808 808 317 317 317 317 317
397 397 397 397 397 397 397 397 397 397 397 397 397 397 4044 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 5045 2735 572 1201 397 489 397 397 397 397 397 397 397 397 397
2548 2548 2548 2548 2548 2548 2771 2548 2547 908 8422 2839 592 209 394 1728 577 162 5101 455 2714 65 2035 2548 2548 2548 2548 2548 2548 2548 1088 487 6685 1632 955 2187 2087 6063 659 850 88 719 289 2660 2660 332 116 1495
403 403 403 403 403 403 403 403 403 403 4163 4163 403 403 403 403 403 403 403 403 403 403 1728 403 403 403 403 403 403 403 403 403 403 403 403 403 403 403 403 972 1152 2552 729 975 403 403 403 403
114 114 114 114 114 114 114 114 114 450 450 450 450 877 123 114 450 450 123 978 6467 450 978 978 978 114 450 450 450 450 106 450 450 450 978 450 978 978 450 114 1039 450 450 450 123 877 450 450
407 407 407 407 407 407 407 404 6150 404 407 407 407 407 1554 416 2499 407 2499 416 416 676 407 407 407 676 676 676 676 676 676 676 676 407 6761 6150 407 407 977 1554 407 1230 2499 407 407 2499 407 407
873 873 873 873 561 873 561 561 561 561 561 873 561 873 873 873 873 1682 4266 873 561 873 2970 873 561 873 873 873 873 561 873 873 873 561 873 873 2392 873 873 8505 8505 873 873 114 15 15 15 15
590 590 590 590 590 590 590 590 590 590 590 590 590 590 7003 551 469 590 590 592 5585 590 590 590 590 590 590 590 590 590 590 590 590 590 590 590 590 590 590 592 4349 3958 459 1060 3991 590 2662 590
4336 4331 4336 4331 4336 4336 4336 4336 4331 1757 1757 238 238 1757 1757 1757 1757 1757 238 1757 4336 4336 4336 4336 4336 4336 4336 4336 4336 4336 4336 4336 4331 238 1757 238 238 1757 1757 1757 238 1757 1757 1757 4528 4331 4336 4336
394 394 394 394 394 394 394 394 450 579 450 579 579 579 579 579 579 704 579 579 579 1230 1230 394 394 394 1230 1230 1230 394 394 394 579 6651 121 123 579 579 579 579 5831 578 579 579 579 106 394 1230
1632 1632 1632 1632 2839 842 1632 1632 1632 1632 1632 1632 1632 1632 1632 1632 1632 1632 1267 1267 1632 1088 1632 1632 1632 1632 1632 1632 1632 316 971 1632 1632 1632 484 4846 1976 1976 484 1632 641 641 1267 4847 1632 1632 1632 1632
1398 1398 1398 1398 1398 4004 2294 2294 2294 6214 1398 1398 1398 2013 2013 2013 2013 2013 2013 1398 2294 2294 2294 1398 1398 1398 1398 1398 1398 1398 1398 1398 2572 1507 4991 2572 1398 1399 1398 1399 1399 1399 1398 2294 2294 1061 1398 2294
2013 2013 2013 2013 2013 2013 2013 2013 2013 1399 1180 1180 1180 1180 1180 4496 2504 1180 1180 1180 3725 1361 2013 3407 3407 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 3407 6518 7798 1180 1180 1180 1180 1180 3386 3407 3407 3407 3407
88 2761 2584 2584 2584 2584 2584 2584 2584 2584 1975 2584 2584 2584 2584 2584 2584 2584 2584 2584 2584 2761 2761 2584 2761 2761 2584 2584 2584 2761 2761 2584 2474 384 1440 1 522 2839 2474 3120 241 247 369 8176 3736 1744 850 383
4359 348 4652 4652 2979 348 2979 348 2979 348 348 348 4359 2979 4641 4359 3403 3769 1833 348 348 348 348 2979 2979 348 2979 348 4652 2979 4359 4359 4652 348 348 2145 2979 4578 2979 2979 1305 4652 348 804 4359 348 4652 4359
524 407 407 407 407 407 407 407 407 681 178 2810 6245 5063 5063 5063 3826 404 404 404 6150 407 407 407 407 407 407 407 407 407 407 407 407 407 407 407 6150 675 675 407 407 407 407 407 407 407 407 524
2714 2714 2714 2714 2714 2714 2714 2714 2714 2714 2714 2714 2714 2714 4 56 65 65 2714 2714 2714 880 2714 2714 4 880 4 4 2714 4 4 0 880 2714 2714 39 1439 1439 1439 3599 60 2714 65 2714 880 2714 2714 2714
3307 3307 3307 3307 3307 3307 3307 3307 3307 3307 3307 3307 1165 1166 1118 8224 1165 8080 3307 1165 920 1165 3307 3307 3307 920 920 8080 3307 1165 3307 1165 1165 8080 3307 920 3307 8503 3307 1165 1165 1165 1165 1165 1165 8503 8503 8503
1841 1841 1841 1841 1841 203 1841 1841 1841 1832 1841 1841 203 203 203 1841 345 345 11 345 203 345 203 3466 1841 1841 1841 1841 1841 1841 1841 1841 203 346 976 975 345 345 203 203 203 345 203 203 345 345 1841 203
